id,roll,name,age
489,2619,Quamar Wise,25
490,4612,Alice Barlow,22
491,2763,Emma Combs,25
492,1297,Autumn Carlson,23
493,1531,Dante Briggs,19
494,1963,Ferdinand Fitzgerald,22
495,4459,Malik Hull,23
496,3894,Emmanuel Kline,13
497,4884,Maryam Norris,28
498,2378,Nigel Rios,20
499,3954,Myles Hartman,23
500,3181,Tad Flowers,29
501,1898,Donna Atkinson,18
502,4871,Shannon Livingston,26
503,4575,Daryl Leach,21
504,4016,Eric Bradley,18
505,2445,Lillith Mays,16
506,2445,Jarrod Stark,16
507,2457,Lavinia Lane,12
508,3373,Dante Ortiz,20
509,1322,Cassandra Garner,18
510,4005,Leroy Winters,16
511,4233,Axel Greer,17
512,3700,Edward Aguirre,10
513,4321,Ann Dale,12
514,1117,Wylie Chan,10
515,3283,Mark Ellison,23
516,1315,Iris Ballard,21
517,2092,Yasir Webb,17
518,2830,Daniel Mcfarland,13
519,2222,Hoyt Reeves,18
520,3432,Colorado Dodson,13
521,3256,Karly Frank,12
522,3539,Ivory Preston,25
523,4402,Charde Nunez,17
524,3472,Perry Moody,29
525,1863,Blake Griffith,17
526,2476,Shafira Barnett,16
527,3728,Brandon Rowland,23
528,2204,Moana Dodson,19
529,4724,Avye Dennis,16
530,1054,Nichole Cole,24
531,4096,Geoffrey Joyner,20
532,3473,Britanney Norton,25
533,4194,Karina Fulton,29
534,4590,Colette Martinez,15
535,4046,Clark Sweeney,25
536,3834,Vladimir Herman,19
537,3457,Isaiah Key,14
538,2498,Angelica Freeman,17
539,3241,Gisela Callahan,16
540,1310,Hilda Wiley,11
541,1695,Dennis Riggs,26
542,1785,September Henson,22
543,2017,Yvonne Becker,12
544,3179,Cameron Willis,28
545,4138,Jamalia Reese,19
546,4658,Jesse Tillman,23
547,4166,Connor Le,11
548,3346,Cyrus Waller,10
549,2826,Shafira Vasquez,15
550,1228,Matthew James,29
551,1015,Phillip Washington,16
552,1799,Claire Walter,30
553,1214,Rana Keith,15
554,3989,Halee Benton,24
555,2554,Tobias Boyer,29
556,4778,Dolan Duran,19
557,4892,Cathleen Cherry,21
558,4127,Aphrodite Banks,26
559,3048,Lane Lang,26
560,2692,Merritt Warren,23
561,4543,Candice Slater,17
562,4367,Moses Shaw,30
563,3831,Zane Hawkins,13
564,3061,Celeste Camacho,13
565,1674,Francis Moreno,23
566,4225,Brianna Ware,20
567,2411,Orla Kaufman,23
568,2278,Knox Noble,30
569,4952,Rose Marshall,17
570,4406,Aaron Moreno,15
571,1697,Fletcher Gardner,17
572,2936,Pamela Wiley,29
573,3292,Declan Parks,27
574,1154,Maggie Hebert,11
575,2887,Celeste Lester,19
576,2883,Ulla Little,18
577,2847,MacKenzie Hogan,21
578,4914,Baker Bond,22
579,2087,Evangeline Barron,16
580,4833,Jada Patterson,20
581,3276,Yvette Stevenson,26
582,3285,Cassady Allison,19
583,1107,Eve Franklin,23
584,2250,Kenyon Tyson,14
585,3076,Chelsea Hardin,19
586,2014,Rhoda Sweeney,29
587,1904,Patrick Mcgee,23
588,4059,Keelie Delgado,14
589,2619,Quamar Wise,25
590,4612,Alice Barlow,22
591,2763,Emma Combs,25
592,1297,Autumn Carlson,23
593,1531,Dante Briggs,19
594,1963,Ferdinand Fitzgerald,22
595,4459,Malik Hull,23
596,3894,Emmanuel Kline,13
597,4884,Maryam Norris,28
598,2378,Nigel Rios,20
599,3954,Myles Hartman,23
600,3181,Tad Flowers,29
601,1898,Donna Atkinson,18
602,4871,Shannon Livingston,26
603,4575,Daryl Leach,21
604,4016,Eric Bradley,18
605,2445,Lillith Mays,16
606,2445,Jarrod Stark,16
607,2457,Lavinia Lane,12
608,Dante Ortiz,20,3373
609,Cassandra Garner,18,1322
610,Leroy Winters,16,4005
611,Axel Greer,17,4233
612,Edward Aguirre,10,3700
613,Ann Dale,12,4321
614,Wylie Chan,10,1117
615,Mark Ellison,23,3283
616,Iris Ballard,21,1315
617,Yasir Webb,17,2092
618,Daniel Mcfarland,13,2830
619,Hoyt Reeves,18,2222
620,Colorado Dodson,13,3432
621,Karly Frank,12,3256
622,Ivory Preston,25,3539
623,Charde Nunez,17,4402
624,Perry Moody,29,3472
625,Blake Griffith,17,1863
626,Shafira Barnett,16,2476
627,Brandon Rowland,23,3728
628,Moana Dodson,19,2204
629,Avye Dennis,16,4724
630,Nichole Cole,24,1054
631,Geoffrey Joyner,20,4096
632,Britanney Norton,25,3473
633,Karina Fulton,29,4194
634,Colette Martinez,15,4590
635,Clark Sweeney,25,4046
636,Vladimir Herman,19,3834
637,Isaiah Key,14,3457
638,Angelica Freeman,17,2498
639,Gisela Callahan,16,3241
640,Hilda Wiley,11,1310
641,Dennis Riggs,26,1695
642,September Henson,22,1785
643,Yvonne Becker,12,2017
644,Cameron Willis,28,3179
645,Jamalia Reese,19,4138
646,Jesse Tillman,23,4658
647,Connor Le,11,4166
648,Cyrus Waller,10,3346
649,Shafira Vasquez,15,2826
650,Matthew James,29,1228
651,Phillip Washington,16,1015
652,Claire Walter,30,1799
653,Rana Keith,15,1214
654,Halee Benton,24,3989
655,Tobias Boyer,29,2554
656,Dolan Duran,19,4778
657,Cathleen Cherry,21,4892
658,Aphrodite Banks,26,4127
659,Lane Lang,26,3048
660,Merritt Warren,23,2692
661,Candice Slater,17,4543
662,Moses Shaw,30,4367
663,Zane Hawkins,13,3831
664,Celeste Camacho,13,3061
665,Francis Moreno,23,1674
666,Brianna Ware,20,4225
667,Orla Kaufman,23,2411
668,Knox Noble,30,2278
669,Rose Marshall,17,4952
670,Aaron Moreno,15,4406
671,Fletcher Gardner,17,1697
672,Pamela Wiley,29,2936
673,Declan Parks,27,3292
674,Maggie Hebert,11,1154
675,Celeste Lester,19,2887
676,Ulla Little,18,2883
677,MacKenzie Hogan,21,2847
678,Baker Bond,22,4914
679,Evangeline Barron,16,2087
680,Jada Patterson,20,4833
681,Yvette Stevenson,26,3276
682,Cassady Allison,19,3285
683,Eve Franklin,23,1107
684,Kenyon Tyson,14,2250
685,Chelsea Hardin,19,3076
686,Rhoda Sweeney,29,2014
687,Patrick Mcgee,23,1904
688,Keelie Delgado,14,4059
689,Quamar Wise,25,2619
690,Alice Barlow,22,4612
691,Emma Combs,25,2763
692,Autumn Carlson,23,1297
693,Dante Briggs,19,1531
694,Ferdinand Fitzgerald,22,1963
695,Malik Hull,23,4459
696,Emmanuel Kline,13,3894
697,Maryam Norris,28,4884
698,Nigel Rios,20,2378
699,Myles Hartman,23,3954
700,Tad Flowers,29,3181
701,Donna Atkinson,18,1898
702,Shannon Livingston,26,4871
703,Daryl Leach,21,4575
704,Eric Bradley,18,4016
705,Lillith Mays,16,2445
706,Jarrod Stark,16,2445
707,Lavinia Lane,12,2457
